No1;No2;No3;No4;No5;No6;No7;No8;No9;No10;No11;No12;No13;No14;No15;No16;No17;No18;No19;No20
5;6;7;13;16;22;26;29;33;37;43;44;52;54;56;57;60;64;65;70
1;2;7;11;14;18;20;21;29;31;37;54;56;57;58;59;63;64;67;69
2;12;13;15;18;19;21;22;23;27;29;30;32;35;42;51;52;56;62;67
1;3;6;10;12;21;25;35;39;41;45;47;48;49;51;55;61;63;64;65
2;5;6;7;14;19;26;31;32;33;35;36;41;49;55;56;57;58;62;66
10;11;15;20;21;24;25;34;35;38;42;43;44;50;54;55;57;61;64;68
8;11;12;16;18;20;21;26;31;51;53;54;56;58;59;62;63;66;68;69
1;13;15;21;22;26;28;38;43;45;49;51;53;55;56;57;59;63;64;69
4;6;13;14;15;22;24;43;44;47;49;50;52;53;58;62;63;64;66;68
3;6;12;17;18;19;20;25;30;31;39;41;46;52;54;61;62;67;69;70
4;9;17;19;24;25;28;33;37;40;47;49;51;57;60;61;62;65;67;70
3;5;11;13;29;36;38;39;43;50;51;52;54;55;57;58;60;62;67;68
1;10;13;14;16;17;19;22;30;35;36;38;52;53;55;62;64;67;68;69
3;6;7;11;12;15;19;23;26;27;28;34;37;45;50;53;54;62;65;68
1;3;5;15;18;21;29;32;35;37;39;41;45;49;53;56;58;62;69;70
5;7;8;13;19;26;28;29;33;36;38;41;53;56;57;59;62;65;66;68
12;13;23;25;28;29;30;31;33;35;42;46;54;55;58;61;62;63;65;68
2;7;10;12;21;22;24;25;32;36;40;45;46;48;56;59;62;63;64;70
5;7;8;15;16;18;23;24;25;27;37;42;43;45;48;51;57;64;67;70
5;15;18;21;23;27;31;32;39;42;43;45;49;50;54;55;64;66;68;69
1;4;5;7;13;15;17;24;25;39;40;48;54;55;58;59;60;61;62;68
1;2;4;6;9;10;13;14;17;22;23;33;38;43;49;52;59;61;66;68
4;5;7;15;18;22;26;29;34;42;43;47;50;51;53;56;58;63;65;68
3;7;11;14;15;19;22;24;34;36;37;40;41;45;46;56;58;64;67;68
1;3;4;9;13;14;16;17;19;37;40;48;49;52;56;57;58;66;68;70
6;15;17;24;27;28;31;37;40;45;46;47;49;53;56;61;62;65;67;69
1;2;3;6;11;14;18;19;21;23;28;38;39;49;55;56;60;62;64;70
10;12;16;19;22;29;34;40;42;43;46;48;50;51;53;55;63;64;69;70
4;9;11;16;21;25;26;27;31;34;37;38;41;42;43;47;52;57;64;66
1;5;7;11;12;15;19;23;25;29;30;33;35;41;50;57;60;65;66;67
2;5;14;17;19;20;22;29;33;34;35;38;41;43;49;52;54;60;69;70
4;5;11;12;16;17;18;22;34;35;43;44;48;52;58;59;61;62;67;68
3;6;8;14;16;18;23;25;26;30;31;35;37;38;40;44;47;52;62;67
11;15;19;20;21;29;32;38;42;46;47;50;54;55;56;57;58;60;62;67
1;2;9;13;15;19;25;32;41;42;43;45;46;48;50;51;52;58;62;64
2;3;8;17;21;23;30;33;34;36;37;39;45;47;48;52;57;60;66;69
1;4;6;9;15;18;21;25;29;32;33;35;39;43;44;45;54;55;58;63
1;6;8;18;20;21;22;26;28;33;34;37;53;54;55;57;59;62;64;69
11;13;17;24;25;33;34;39;40;42;45;46;47;50;58;59;61;64;68;69
2;9;12;16;20;24;26;33;37;41;42;44;47;50;56;61;63;64;66;68
6;7;12;15;18;21;22;30;31;32;35;37;40;42;48;54;56;57;64;66
4;5;9;15;16;17;20;28;29;30;37;39;41;42;45;53;54;58;60;62
2;10;12;13;18;21;22;29;33;35;38;40;56;58;61;64;66;67;69;70
10;15;19;28;31;40;41;42;44;47;48;49;51;60;62;64;66;67;68;70
1;6;13;16;21;23;26;39;40;41;46;47;49;50;52;57;59;65;67;69
2;3;4;11;18;24;25;26;27;35;47;48;49;52;53;59;60;63;68;70
1;4;5;8;9;10;13;14;18;20;25;28;33;34;38;46;47;54;61;68
1;2;11;18;19;22;29;33;34;42;43;45;48;55;58;60;61;62;67;69
1;3;11;14;17;18;19;31;32;39;42;43;48;50;54;55;56;57;61;65
5;6;7;8;11;17;33;34;38;40;54;55;57;58;59;60;61;63;65;67
3;4;14;19;20;21;22;24;31;35;39;43;44;53;57;58;62;63;69;70
5;6;7;13;18;24;25;27;39;30;41;43;45;47;49;55;56;61;64;70
4;5;7;9;11;13;17;23;27;38;47;48;49;56;62;63;64;65;66;67
1;2;5;6;7;9;10;12;13;14;17;20;23;37;49;51;54;57;60;67
1;3;5;12;24;27;29;31;32;35;45;46;47;54;56;60;61;62;68;69
2;6;7;24;27;28;39;40;41;45;46;49;50;51;57;59;64;65;68;69
2;4;7;8;12;15;18;19;20;24;37;38;39;40;44;46;48;55;57;61
4;6;8;9;10;11;15;20;22;24;27;29;30;37;46;52;56;61;67;68
1;6;9;14;18;20;24;30;33;37;38;39;40;48;49;51;53;54;58;70
4;5;6;10;13;16;23;29;34;36;39;40;41;43;46;51;58;63;64;68
1;3;4;8;10;12;15;17;27;30;36;40;41;42;43;45;49;56;63;70
2;7;9;10;12;16;18;28;29;30;32;33;36;41;46;51;60;64;65;66
2;4;7;15;16;21;23;33;36;38;39;49;53;55;58;61;62;63;65;69
1;8;9;12;15;17;20;21;22;30;34;35;38;42;46;47;52;56;58;63
3;7;13;14;21;26;29;32;33;38;42;44;46;50;55;57;60;63;64;66
1;5;7;12;14;15;16;22;23;26;30;34;36;38;47;53;58;59;65;68
5;8;13;17;19;23;24;28;30;33;35;39;44;47;50;54;57;62;65;70
3;6;7;9;12;16;17;21;25;27;31;35;39;47;48;54;59;62;64;66
6;7;12;13;15;22;24;25;29;36;38;39;46;48;51;54;56;60;63;66
9;10;12;14;15;17;18;19;20;23;25;30;31;38;41;47;48;56;60;69
3;4;5;8;11;12;13;16;19;20;23;24;28;29;43;47;48;51;57;67
2;3;8;9;11;17;18;25;29;40;41;42;44;53;56;57;59;62;69;70
7;8;15;17;18;21;23;24;27;33;36;41;42;45;47;48;52;53;55;58
4;10;11;17;20;22;24;26;29;30;33;34;35;39;50;51;54;63;68;70
2;12;16;20;26;33;35;43;44;45;50;53;57;58;59;61;62;67;69;70
3;4;5;9;15;17;18;21;22;23;31;39;41;43;44;45;47;50;55;59
3;4;6;13;14;16;27;30;37;38;39;40;41;46;48;49;55;56;59;60
1;6;8;15;23;24;27;33;34;35;40;48;50;52;57;58;63;65;67;68
3;8;10;22;26;27;28;31;33;34;37;39;45;47;50;52;57;58;62;63
2;6;7;11;17;18;20;22;23;29;34;37;39;43;47;48;55;58;63;70
3;5;6;7;9;12;13;14;16;26;27;33;45;50;51;53;56;62;64;69
1;5;6;7;13;16;19;34;38;39;40;42;44;51;54;57;58;63;64;67
1;14;16;18;21;22;26;27;31;34;36;38;40;44;46;50;53;58;64;65
1;4;6;9;13;17;18;24;26;27;28;29;30;32;39;42;52;53;54;63
2;3;4;10;16;29;30;34;36;42;43;44;47;50;52;53;58;60;66;69
3;8;11;12;15;17;19;21;22;24;25;37;39;44;47;49;56;62;65;70
6;9;13;14;18;21;25;27;28;29;34;36;40;52;54;58;62;65;66;70
8;13;19;20;26;29;30;37;40;44;46;48;51;57;58;60;62;64;68;69
10;11;12;18;20;21;22;24;36;39;41;43;54;55;58;60;62;63;64;70
1;3;7;9;10;14;16;17;25;28;29;36;39;40;41;42;52;54;61;65
2;3;9;11;14;15;25;26;31;37;39;43;45;48;56;57;58;60;63;70
3;5;8;9;11;12;16;17;20;22;24;35;36;39;41;55;59;62;63;68
1;2;8;11;16;19;20;28;29;31;35;37;41;45;50;55;56;65;69;70
1;3;7;9;14;16;17;20;24;30;33;35;44;45;46;50;55;63;66;69
4;6;14;15;18;26;28;30;34;35;39;41;45;46;53;59;62;65;67;68
2;4;11;12;13;28;35;36;41;44;46;47;48;49;50;56;57;65;67;69
1;2;8;10;11;15;18;23;36;37;40;42;45;46;47;53;54;61;64;68
6;8;10;12;14;16;17;19;23;26;29;30;32;41;49;53;58;64;67;70
1;3;15;20;23;24;31;36;38;40;43;48;53;58;61;62;63;64;67;70
2;4;13;14;15;19;20;22;26;33;35;36;44;46;47;52;53;60;64;65
1;7;11;14;16;17;21;34;38;39;40;41;43;48;51;63;65;66;67;70
1;2;10;12;13;14;34;36;38;40;41;42;44;48;49;59;64;65;68;70
3;4;5;11;18;19;21;22;24;26;31;33;35;39;47;50;55;62;65;67
8;11;15;17;19;25;28;31;33;36;39;42;47;48;52;56;60;61;62;64
3;7;11;12;13;14;21;22;23;31;45;50;51;52;53;54;57;58;60;69
7;12;15;18;19;20;21;34;37;38;43;45;47;49;50;56;58;59;60;61
7;8;9;13;14;17;25;27;28;32;34;36;40;42;43;46;49;54;57;62
4;5;9;10;11;12;24;26;29;30;34;37;38;39;40;51;54;59;61;66
3;10;19;21;23;29;30;31;34;42;43;45;46;49;51;54;57;62;64;69
2;8;9;10;12;13;16;20;23;36;37;38;49;56;58;62;63;64;67;70
4;8;15;16;18;20;22;28;29;30;43;45;47;48;50;52;56;58;62;65
2;4;18;19;21;22;24;26;28;29;31;33;39;42;49;54;60;61;65;70
3;9;11;13;20;21;25;28;36;38;40;41;42;46;51;56;62;64;66;67
2;3;9;13;14;16;17;19;21;25;26;32;33;37;41;44;46;54;59;67
1;2;3;4;5;9;14;17;19;23;25;30;33;39;48;50;55;60;61;65
7;8;15;32;33;36;41;45;46;49;51;52;53;54;57;58;59;61;66;68
3;4;7;14;15;18;23;26;27;28;29;33;39;46;50;51;55;63;64;69
1;2;3;8;13;14;15;30;35;37;40;46;47;49;50;62;63;65;68;69
6;9;15;16;19;20;24;25;35;42;46;49;54;57;60;62;65;67;68;70
2;3;9;11;13;15;23;28;31;32;34;35;36;37;41;51;53;54;61;63
1;3;5;7;20;21;27;34;37;40;41;43;46;48;49;50;53;56;57;64
4;6;7;8;11;17;19;20;23;30;33;37;38;46;47;48;55;59;60;61
2;11;18;21;25;26;29;30;31;36;38;45;47;48;49;51;52;53;56;60
2;3;5;9;16;18;19;20;21;23;24;25;28;30;32;35;40;44;57;61
2;3;8;10;11;16;19;20;21;24;25;29;34;40;41;43;47;55;56;59
3;5;6;7;25;26;33;34;36;39;40;43;44;46;52;56;57;60;61;70
2;5;8;21;26;31;34;37;39;44;46;47;48;49;50;55;57;58;67;68
5;11;15;16;19;23;29;30;34;37;38;43;45;50;51;53;55;58;61;66
4;7;9;11;14;16;17;22;23;30;34;39;41;45;47;50;51;56;61;63
1;2;10;22;23;25;34;36;39;41;44;46;51;52;53;57;60;65;66;68
1;5;16;22;24;26;34;37;39;44;46;48;55;56;58;60;63;65;67;68
3;5;7;10;17;20;28;34;37;41;44;47;48;59;61;62;64;65;66;68
6;7;8;14;15;16;18;24;26;28;30;32;34;37;38;45;51;54;62;63
6;9;13;15;18;19;22;24;28;32;38;40;47;51;58;59;64;65;67;70
1;3;4;8;11;13;14;16;31;33;36;51;52;55;57;59;60;64;65;66
2;6;7;16;18;20;26;33;36;39;40;50;52;56;57;59;61;62;67;68
5;10;14;16;20;34;37;38;40;42;44;48;51;54;55;56;61;62;65;68
2;3;5;8;12;14;21;28;32;36;37;42;44;46;49;50;52;56;66;68
5;13;14;15;20;24;29;39;44;49;50;55;56;57;59;60;61;65;68;70
5;7;8;14;16;17;21;29;30;35;36;42;45;46;48;53;58;61;67;69
4;6;8;12;14;16;18;20;22;26;29;34;36;37;39;51;55;56;59;64
3;7;8;13;14;16;18;28;31;35;36;39;47;49;50;53;54;58;60;63
3;4;6;12;13;15;16;20;22;25;26;32;37;40;43;44;47;51;52;56
2;3;7;11;13;14;20;34;42;44;46;48;50;52;59;60;65;66;67;70
2;5;8;10;16;19;21;25;27;31;37;39;43;49;54;55;60;64;66;67
5;9;13;16;17;18;22;25;26;29;32;34;38;46;48;52;62;63;66;70
2;3;4;5;14;16;21;22;24;27;28;31;34;39;43;45;46;52;55;65
9;14;17;21;22;23;26;28;35;36;44;56;60;62;63;64;66;67;69;70
2;3;5;7;13;30;33;34;37;42;43;44;46;51;53;54;55;58;64;67
2;5;6;11;12;13;15;21;25;29;31;33;35;40;41;44;52;56;63;70
1;3;4;7;11;15;17;18;19;21;33;39;40;41;48;53;55;57;62;66
4;5;13;15;17;28;30;39;40;41;43;47;49;52;55;56;64;65;66;69
9;10;15;16;18;24;26;27;28;31;35;37;39;41;43;46;52;59;66;68
3;6;7;13;17;18;24;32;34;39;41;45;49;50;54;57;59;60;66;69
1;4;5;9;12;15;16;17;19;28;29;32;33;34;44;50;54;55;66;68
1;9;10;11;12;14;16;24;28;31;40;42;43;48;50;56;57;58;59;68
1;4;7;8;10;16;17;18;19;20;24;26;27;37;40;41;48;58;60;70
3;7;11;20;21;26;28;33;36;43;49;50;53;55;57;58;59;61;63;65
6;16;18;23;24;26;27;29;30;31;32;34;35;39;43;44;48;53;56;62
2;3;4;7;8;10;17;21;31;36;41;47;48;51;52;57;59;63;65;69
1;4;11;19;21;22;26;30;31;33;35;36;37;39;43;49;55;64;65;70
4;11;13;18;19;20;24;26;29;34;38;40;42;43;49;51;60;61;67;70
2;12;14;17;20;23;31;32;39;40;41;42;48;49;55;59;61;67;68;69
1;2;5;9;14;15;20;23;25;33;34;38;40;41;51;56;58;64;69;70
6;7;9;27;28;32;34;38;39;40;42;43;47;49;52;54;55;56;63;64
5;9;12;13;16;22;23;25;26;28;29;33;36;41;44;51;61;64;67;69
1;4;6;9;13;29;31;34;37;38;39;41;47;50;52;54;59;62;63;69
1;4;7;11;19;26;27;28;30;32;35;37;38;40;44;45;46;53;59;60
3;5;6;10;11;13;23;25;39;41;43;44;45;49;50;53;57;58;61;65
2;3;10;15;17;18;24;27;30;31;33;35;37;43;46;47;55;62;68;69
1;9;10;19;22;23;26;32;36;37;38;42;46;49;50;55;57;58;59;64
1;5;10;12;26;28;29;31;35;37;38;40;48;50;51;52;54;57;61;65
2;5;7;8;12;16;17;24;35;40;41;42;46;49;50;53;61;67;68;69
2;6;11;13;14;16;22;30;32;36;39;45;46;48;50;55;56;58;65;70
4;7;8;11;13;15;17;18;20;21;26;30;32;36;44;45;61;62;64;68
7;10;16;18;21;24;27;30;31;39;44;46;50;51;54;58;59;61;65;69
3;11;12;17;27;28;34;38;40;42;47;48;53;54;55;59;60;61;62;63
3;6;8;18;20;21;22;24;27;31;35;39;45;53;59;62;64;65;66;69
1;3;4;6;11;13;16;17;23;27;29;32;35;42;47;49;50;51;60;64
3;7;15;17;18;20;21;23;24;25;27;28;30;33;34;42;53;56;59;69
7;16;17;18;19;21;24;32;37;39;44;47;48;52;56;60;63;65;67;70
3;8;10;12;16;18;22;24;29;35;40;41;46;47;56;59;60;63;66;69
7;9;10;12;13;17;20;25;29;30;32;33;34;40;44;48;52;53;66;68
4;5;9;13;19;26;28;29;33;35;37;38;42;51;53;54;58;61;66;69
3;6;9;20;21;23;27;29;33;35;36;37;38;41;43;45;48;49;52;66
1;9;16;21;30;32;34;36;40;41;45;46;47;48;51;54;59;61;62;68
3;8;9;12;21;24;28;29;31;34;36;42;43;46;47;49;50;53;66;70
3;5;10;19;25;26;29;30;37;41;45;48;53;54;55;58;59;62;63;64
2;4;6;14;21;32;33;34;35;37;44;55;56;58;59;60;61;63;66;70
1;7;10;17;20;23;25;28;29;36;41;46;51;52;55;58;59;62;64;70
2;5;6;14;15;22;28;32;36;39;41;46;51;52;56;60;61;63;68;70
2;3;4;5;7;12;14;16;22;25;27;31;32;38;40;47;51;55;66;69
1;3;4;7;9;11;13;15;19;28;34;35;41;43;45;58;60;61;65;67
1;5;7;10;12;14;18;20;26;32;33;39;42;49;51;54;55;57;63;70
3;9;10;11;14;15;16;25;26;27;28;39;40;44;50;57;61;64;66;67
7;9;12;14;18;26;30;31;32;35;37;41;42;43;49;56;64;66;67;68
1;3;4;7;10;14;17;32;35;41;44;47;48;55;56;58;61;64;68;70
11;12;18;24;25;29;30;32;35;36;39;44;45;48;53;55;56;59;63;68
4;5;7;8;13;15;20;22;27;28;29;30;34;37;42;44;45;49;59;61
6;8;10;11;12;20;22;38;39;40;42;43;45;48;51;52;53;55;61;70
4;7;9;18;23;28;29;33;37;38;40;42;49;50;51;53;56;59;60;68
3;9;11;13;14;15;23;24;32;33;36;37;39;41;42;49;55;57;66;70
4;6;8;10;18;21;25;26;28;35;37;39;40;41;44;49;50;59;62;63
4;6;12;18;27;30;31;33;37;41;49;52;53;54;57;59;64;67;68;70
1;2;3;10;14;16;26;30;34;36;38;41;45;47;49;51;55;59;64;68
8;10;11;16;17;19;20;22;24;26;28;30;31;33;37;38;48;59;66;70
9;14;20;29;31;32;33;38;39;45;46;50;53;57;59;60;61;65;67;69
3;7;10;11;13;21;22;28;31;35;37;38;41;46;49;53;55;56;62;70
3;5;6;15;17;18;27;31;32;35;42;49;50;53;54;56;57;64;65;70
1;3;10;17;18;29;33;35;39;43;45;47;53;56;57;58;59;63;65;67
3;7;13;15;17;18;19;24;28;29;36;39;40;50;52;54;59;60;63;65
7;8;18;19;20;23;30;32;34;37;38;39;42;44;48;49;57;64;67;68
1;4;8;12;13;15;20;23;26;32;42;43;53;56;57;61;62;64;67;70
2;5;16;17;19;20;22;23;24;28;30;31;38;40;44;46;50;52;53;57
1;3;9;10;15;16;17;24;29;32;40;42;46;47;51;53;62;64;66;70
2;7;13;19;20;21;25;26;28;34;36;38;39;48;50;53;58;60;61;63
2;3;4;5;7;11;15;19;28;29;30;31;34;38;39;54;61;62;64;67
2;4;8;10;18;20;21;26;27;28;40;41;46;49;52;55;60;61;63;70
3;4;6;8;11;18;21;22;24;26;27;29;39;47;52;54;56;60;63;68
1;2;4;6;12;14;17;19;20;22;26;31;33;36;42;52;55;58;60;63
3;5;10;18;21;26;29;30;33;37;41;44;45;46;49;50;55;56;58;59
2;4;5;6;8;13;15;16;19;22;26;34;42;44;48;53;60;62;66;70
6;7;8;10;12;13;15;22;25;28;31;32;39;46;54;55;57;61;63;68
1;7;8;10;16;18;20;21;26;27;29;37;38;39;41;49;61;64;66;68
5;9;13;15;19;21;22;26;31;33;37;39;41;44;47;48;51;54;55;70
2;3;4;5;7;8;14;25;26;27;28;29;30;54;58;59;60;61;63;67
8;9;15;18;19;20;24;25;26;31;33;38;45;46;47;48;55;56;64;66
3;9;10;13;18;25;30;31;35;36;39;40;41;45;49;50;51;52;55;65
1;4;6;9;12;21;23;30;31;36;37;43;44;47;52;54;61;65;67;70
1;3;4;6;7;8;22;24;26;31;32;34;39;44;47;48;51;54;58;67
2;5;6;7;8;12;19;22;23;26;33;37;38;39;40;44;45;52;53;68
1;2;3;7;11;18;27;30;36;40;45;47;48;52;54;56;57;66;67;70
8;9;12;17;18;19;24;27;29;32;35;39;40;46;56;57;62;64;65;67
2;7;10;15;18;24;28;37;39;46;49;50;53;58;60;65;66;67;68;70
3;7;18;19;23;28;31;34;35;39;41;46;48;51;53;55;58;62;65;66
1;7;17;18;22;25;29;32;34;38;44;46;53;56;59;61;62;64;67;70
2;4;9;15;16;18;20;21;22;23;26;27;28;30;46;47;49;55;62;63
5;6;9;10;14;21;23;24;29;30;33;38;40;46;53;60;62;65;66;69
1;7;10;13;15;18;19;23;25;27;29;34;40;43;44;45;47;57;61;63
2;6;7;9;11;13;22;24;25;28;33;37;39;44;48;57;65;66;69;70
9;11;16;30;31;33;35;36;37;39;45;49;50;51;54;55;63;66;67;68
1;5;6;13;14;16;19;21;22;24;31;36;47;48;58;59;61;63;66;67
1;3;10;16;24;25;31;32;37;43;44;48;49;50;53;54;60;64;67;70
3;7;8;9;11;14;21;24;26;30;32;45;49;55;56;58;59;61;66;70
4;5;6;11;22;25;26;28;35;36;39;47;52;57;59;60;65;67;68;70
1;4;12;13;14;22;24;25;27;30;33;40;44;46;47;59;62;66;67;68
1;9;10;11;12;15;17;19;20;22;25;29;33;43;49;54;57;61;66;67
5;7;8;12;13;18;31;33;37;43;45;46;48;51;53;56;63;66;68;69
1;4;6;11;14;23;24;28;33;43;44;48;49;50;52;53;58;60;62;69
2;11;13;15;22;23;26;28;30;34;40;44;46;47;49;53;57;63;65;69
6;8;15;23;27;28;30;36;39;41;42;43;45;46;50;54;55;56;57;67
2;9;12;13;14;22;24;25;28;30;32;37;41;45;47;48;53;61;64;65
8;9;11;12;18;22;23;30;31;34;35;41;43;44;45;49;50;60;63;64
10;11;13;15;16;19;20;21;22;23;29;30;34;37;42;49;50;53;64;70
1;3;4;6;7;11;12;15;20;22;25;30;37;38;40;55;60;61;67;70
1;5;6;9;13;14;17;19;24;26;29;32;35;41;42;55;64;67;68;70
2;3;8;12;16;19;20;22;43;44;48;50;53;55;58;62;63;67;69;70
2;6;8;13;17;20;27;29;35;38;41;42;44;47;51;56;60;62;65;70
3;6;7;11;12;21;23;25;31;35;37;39;46;50;55;57;60;61;62;68
6;11;12;14;15;20;24;29;31;33;36;40;42;44;55;56;60;63;65;66
5;10;14;17;18;22;23;26;28;31;37;38;43;45;50;55;57;64;65;70
6;7;8;18;22;23;33;36;37;41;43;44;45;49;54;56;59;64;65;70
1;2;3;6;8;14;18;21;22;23;25;34;37;39;43;58;59;65;67;69
3;7;10;19;27;29;30;31;32;33;43;48;50;51;55;56;58;61;62;67
10;12;13;16;17;18;20;24;26;32;35;39;42;43;44;46;51;52;57;62
2;8;9;11;13;14;24;29;34;35;38;39;40;42;44;50;54;56;58;70
2;3;20;22;25;26;27;29;30;33;34;36;37;43;44;45;47;53;58;67
11;12;15;17;19;23;25;28;29;30;32;33;34;39;42;47;48;54;59;61
1;7;9;15;16;18;19;24;28;32;33;37;41;42;44;56;60;62;67;68
1;2;4;6;7;10;16;20;27;37;38;42;45;48;50;53;54;55;56;59
12;16;18;20;26;27;30;32;33;38;40;44;45;57;59;62;63;64;65;68
3;7;8;14;15;19;22;24;25;34;41;44;45;46;53;56;57;63;65;69
2;4;12;22;26;32;37;42;44;45;47;48;54;56;58;60;61;63;68;69
3;4;6;7;12;13;23;28;29;30;32;37;43;46;55;57;65;67;68;70
6;14;20;21;22;23;24;25;32;40;41;47;51;56;57;58;61;63;66;69
3;12;16;17;24;26;27;29;31;32;38;39;44;45;56;62;65;66;67;69
9;11;17;20;23;27;28;29;36;39;40;44;45;50;55;59;63;64;66;70
2;3;14;15;19;22;23;26;29;32;35;38;45;47;53;54;56;57;62;70
7;10;12;14;17;21;23;24;25;31;34;41;42;43;48;53;60;63;64;68
4;6;9;12;18;20;32;35;36;37;38;39;44;46;53;58;59;65;66;68
2;3;5;6;8;13;14;19;20;26;32;33;45;46;47;51;52;56;57;58
5;7;9;17;22;25;27;31;32;44;47;48;52;54;63;64;65;66;69;70
2;6;10;12;15;18;21;22;27;45;48;51;53;58;61;63;64;65;66;69
2;4;10;13;14;18;20;22;25;26;36;38;41;49;54;57;59;61;62;66
3;5;6;12;18;21;22;27;31;33;41;42;46;52;54;56;57;60;64;65
1;3;4;5;14;17;18;22;34;36;38;40;42;48;54;57;63;67;69;70
6;8;13;16;22;23;24;26;37;38;41;42;44;45;51;52;55;65;67;69
3;12;21;22;23;24;32;33;40;41;42;45;49;50;56;57;58;65;66;67
2;3;5;11;14;17;19;26;36;39;41;50;55;57;60;61;62;65;67;70
2;5;7;8;12;14;18;21;24;25;30;37;44;45;47;49;57;58;65;70
3;7;15;17;20;22;25;32;33;38;40;43;48;50;54;57;59;61;63;67
1;2;4;6;9;11;16;22;24;27;28;30;31;35;41;42;44;52;61;63
5;16;17;25;30;33;41;47;52;53;54;55;58;60;61;62;65;66;67;68
1;4;5;8;11;14;15;18;19;20;24;27;37;38;39;58;60;66;68;69
1;2;3;9;16;20;21;34;37;40;41;43;45;50;53;54;56;61;66;68
8;10;13;15;22;28;41;42;45;50;51;52;53;57;58;59;66;67;68;70
1;5;10;13;14;15;22;30;31;33;35;38;40;42;49;55;61;62;69;70
6;7;9;14;18;21;30;31;34;39;44;45;46;48;49;52;55;63;66;69
5;6;8;9;11;13;18;23;28;37;39;40;42;44;46;51;56;62;66;69
1;2;8;13;14;15;16;33;35;36;37;40;42;47;54;58;60;61;67;68
3;6;9;11;22;25;35;36;37;39;43;48;49;50;52;55;56;57;62;64
7;19;21;23;24;26;27;28;29;34;35;39;41;45;53;58;61;65;66;67
4;11;12;13;20;27;31;37;41;42;45;49;56;57;58;63;65;66;67;68
1;11;13;14;17;18;19;30;32;35;37;38;42;43;44;47;48;50;60;66
8;11;12;15;16;17;21;22;24;25;33;36;40;43;50;55;56;62;67;68
4;5;17;24;28;29;34;37;40;41;42;44;48;53;54;55;58;59;63;70
5;14;16;17;18;20;27;28;29;30;31;33;35;40;45;51;56;63;64;70
7;8;11;13;15;20;21;23;24;33;34;35;36;37;39;41;50;60;64;66
6;8;13;14;15;26;38;41;46;50;52;53;57;60;61;66;67;68;69;70
1;3;28;31;35;39;40;42;43;46;48;50;53;56;58;60;62;65;67;70
4;8;12;14;16;19;20;25;26;27;28;32;33;37;48;49;54;63;67;68
2;5;7;8;9;18;19;20;22;29;30;32;38;41;42;43;55;63;69;70
3;5;7;13;16;19;20;21;24;30;32;35;40;41;50;51;52;55;60;69
4;5;7;11;15;17;21;25;26;32;35;38;40;42;46;48;52;53;63;65
12;13;15;19;20;29;32;35;36;37;39;42;44;45;47;48;58;60;65;70
2;3;5;9;13;15;17;21;23;25;34;38;40;44;47;49;54;60;65;67
2;7;12;20;22;23;27;34;36;44;50;52;53;54;56;58;61;62;65;68
1;3;6;7;10;12;14;19;21;22;24;32;37;46;47;49;50;53;59;63
2;4;11;14;17;20;22;26;31;34;39;43;45;50;54;56;60;61;66;69
4;6;8;10;14;21;24;25;30;31;37;53;54;55;56;62;64;65;67;68
1;3;5;12;13;14;15;18;31;33;47;53;60;63;64;65;66;67;68;70
3;5;9;12;13;15;16;24;33;34;36;37;39;40;48;50;51;63;67;68
3;4;5;6;11;15;17;20;23;28;32;39;45;49;50;51;55;62;65;66
2;3;8;11;15;17;23;29;31;37;40;43;49;51;55;56;57;61;62;64
3;7;10;11;20;24;27;28;32;33;35;36;38;40;49;52;56;68;69;70
2;6;7;11;15;16;17;20;27;30;33;35;40;50;57;59;62;64;65;67
2;5;6;8;17;23;26;36;39;41;42;50;53;54;55;56;59;62;69;70
3;12;14;20;24;25;27;30;33;36;39;41;43;45;48;52;58;59;65;70
1;4;6;10;14;18;19;28;31;40;44;49;54;55;57;58;64;66;68;70
2;6;10;11;13;20;25;26;28;29;32;33;38;41;42;44;45;54;67;70
3;6;9;10;16;18;23;27;30;32;33;37;38;45;49;56;57;58;59;65
6;9;15;16;20;23;24;25;26;27;29;33;49;51;53;56;57;62;63;67
7;8;9;10;14;18;20;28;31;33;35;38;40;41;46;48;51;58;65;67
9;10;12;14;21;24;26;28;30;33;36;40;44;47;49;52;53;54;57;62
6;10;15;17;19;20;22;28;29;30;31;32;33;41;46;47;53;63;64;65
4;5;9;11;14;16;24;25;26;35;36;37;38;39;42;46;49;56;66;70
1;4;6;8;13;14;23;24;27;28;31;39;41;45;47;49;55;62;64;65
9;10;11;15;23;31;33;37;39;40;47;49;50;51;53;57;62;66;68;69
5;6;9;10;16;18;20;23;25;26;28;30;35;39;42;46;58;62;69;70
1;2;5;11;14;18;22;23;30;31;38;42;48;54;56;58;60;61;63;65
3;4;6;11;13;16;20;25;27;28;32;33;34;36;39;41;50;53;56;57
1;5;9;11;12;21;23;28;30;35;39;43;44;45;48;56;57;62;63;67
3;6;8;13;16;25;28;30;31;32;37;48;49;51;52;56;57;62;64;66
2;4;9;14;15;17;18;19;20;23;29;34;37;41;43;47;52;55;58;64
4;8;12;16;17;20;21;27;28;31;33;40;42;48;51;54;58;60;65;68
6;9;14;15;18;21;23;25;26;32;36;47;51;57;61;63;64;65;67;69
1;2;4;6;7;18;19;24;34;41;43;45;46;50;51;57;59;60;62;69
2;3;7;8;15;19;21;24;25;33;36;41;44;50;56;61;62;64;65;66
