Nro1;Nro2;Nro3;Nro4;Nro5;Star1;Star2
6;14;20;26;46;2;4
4;8;22;36;44;5;10
5;11;12;30;40;2;5
6;15;18;21;38;1;4
22;33;42;43;46;6;10
4;8;9;33;43;5;9
15;28;30;42;50;1;8
11;27;34;35;39;6;10
15;28;30;37;43;2;5
1;7;23;25;45;5;8
4;28;29;39;44;8;10
1;10;20;43;44;6;9
7;10;25;39;42;3;6
14;16;28;34;35;3;9
1;4;6;12;13;1;6
14;15;16;22;50;2;10
1;16;18;42;47;6;8
7;10;16;32;40;1;6
19;28;34;45;49;1;6
1;20;39;48;50;3;7
12;17;29;44;50;2;10
2;3;24;25;34;6;8
13;27;30;42;46;3;4
27;30;45;47;50;1;9
7;14;23;27;35;3;5
2;21;26;44;45;1;6
5;23;25;35;40;5;8
12;15;19;29;48;7;9
4;5;17;39;47;3;4
13;23;31;42;44;2;5
7;18;19;40;49;5;6
1;7;13;19;20;6;8
3;7;16;18;25;2;10
13;18;20;35;46;7;8
3;16;25;38;45;7;8
25;26;30;36;44;3;9
8;14;34;40;44;1;7
10;27;43;45;46;4;8
6;22;33;46;49;1;5
27;31;44;46;49;6;8
3;38;39;41;45;3;5
8;11;23;41;42;6;8
7;14;31;35;46;1;2
22;33;41;46;50;2;6
3;11;13;15;23;1;9
2;4;17;20;46;1;8
13;17;20;24;47;5;8
1;24;25;31;38;1;7
6;14;19;27;35;2;4
1;3;11;18;31;3;6
15;16;17;23;30;6;9
3;9;25;31;49;8;9
27;35;36;38;48;2;3
14;18;26;40;45;1;5
18;39;44;46;47;4;6
13;14;21;23;40;1;3
1;4;20;32;34;3;6
11;20;28;41;45;5;9
3;4;9;19;28;1;7
11;38;40;42;48;4;5
15;22;29;33;47;3;7
10;17;32;36;47;2;5
2;12;15;29;44;7;10
5;17;28;40;44;1;8
9;40;43;44;46;1;8
1;10;25;46;49;1;6
2;20;23;29;50;4;5
2;35;44;45;50;6;7
1;14;17;24;50;8;9
3;4;17;41;47;2;5
11;16;18;22;43;7;8
5;16;20;29;30;2;7
9;15;20;24;34;1;5
1;7;12;16;18;1;4
16;26;32;40;47;1;6
16;30;33;40;43;2;4
2;7;38;40;45;7;10
16;17;25;40;44;2;9
3;9;17;45;47;4;9
10;23;26;29;35;3;5
15;24;29;33;41;7;8
7;8;24;34;46;4;8
4;8;19;25;44;9;10
18;26;33;42;46;4;10
16;18;20;27;46;3;5
15;23;28;33;36;4;7
4;27;37;48;49;3;4
4;14;22;33;42;1;10
5;15;17;29;32;5;7
6;8;16;23;50;4;8
3;10;21;25;34;7;10
22;24;25;28;46;2;4
9;21;31;32;33;9;10
24;26;29;36;49;3;6
3;14;17;37;39;5;10
1;11;23;41;44;2;8
15;31;35;40;46;3;8
14;19;21;30;32;4;7
5;13;22;36;39;9;10
1;5;7;9;21;3;10
16;24;33;35;43;6;7
9;18;30;47;48;4;6
2;7;24;38;45;5;8
13;14;21;34;46;2;5
13;33;40;42;43;7;9
2;22;40;43;50;3;8
4;8;12;25;31;7;8
4;15;17;21;23;6;7
2;12;32;43;44;3;4
8;25;26;38;48;6;9
3;6;9;18;24;2;7
4;7;28;36;43;1;6
24;33;35;46;49;5;9
5;8;16;42;46;2;10
3;8;13;18;40;6;10
12;15;32;44;49;5;7
6;26;31;42;50;2;9
9;12;28;32;48;7;8
18;19;33;38;44;4;10
5;17;27;33;42;9;10
8;32;34;46;49;3;5
13;15;18;39;45;5;6
17;22;28;31;46;5;10
18;22;35;36;41;3;4
4;16;21;31;42;4;6
4;14;24;26;30;9;10
3;16;20;34;49;2;10
19;24;31;38;40;7;10
3;10;25;32;43;1;3
6;12;35;39;49;4;9
2;9;23;36;47;2;9
24;25;28;35;48;4;8
6;29;38;45;47;2;3
5;8;21;24;26;4;5
1;24;30;31;47;7;9
14;16;21;25;26;8;10
7;16;18;19;24;1;6
4;29;30;31;45;1;7
1;2;11;19;47;2;7
15;20;24;44;49;7;9
4;9;15;24;42;8;9
22;31;43;44;50;1;9
14;16;21;30;37;4;8
18;21;37;43;47;1;3
1;6;11;17;38;4;8
3;9;10;19;42;1;7
5;7;15;19;29;3;8
20;27;33;35;46;5;9
8;26;38;47;50;3;7
10;12;35;36;43;2;5
7;8;20;35;38;5;9
8;23;40;41;42;2;10
20;27;37;41;45;1;7
18;25;26;35;38;5;6
1;15;34;48;50;6;10
31;36;40;42;45;7;9
31;32;45;47;49;7;9
3;8;30;46;48;1;3
6;11;38;41;44;9;10
2;4;20;21;49;9;10
7;20;35;42;44;3;7
15;18;19;41;42;4;6
10;18;32;35;46;3;10
21;24;29;30;50;1;5
3;21;22;33;47;2;9
17;21;41;48;49;4;8
21;24;26;34;47;4;6
15;19;20;45;49;7;8
8;12;13;39;44;4;9
6;9;31;43;44;6;9
2;30;34;35;45;1;2
3;17;31;34;40;1;2
14;20;23;39;49;4;10
10;19;24;30;39;2;4
3;12;24;37;38;3;7
2;3;30;31;45;6;8
8;14;23;30;45;1;9
25;31;38;49;50;5;10
12;20;21;22;35;4;10
7;12;28;34;45;3;6
6;27;30;35;41;4;5
4;14;25;34;49;4;9
1;23;32;45;49;5;10
5;12;20;29;48;7;9
1;7;12;23;39;3;4
7;16;22;36;44;3;4
2;6;30;32;49;1;4
2;13;39;45;47;4;6
12;22;24;29;38;5;6
15;19;35;36;41;5;10
1;17;29;39;42;7;8
9;14;28;30;37;3;10
13;19;23;34;41;3;8
3;21;26;40;41;8;10
2;7;8;43;50;2;3
1;18;23;33;41;2;6
6;13;15;34;35;1;5
6;11;12;21;41;1;2
9;11;15;36;43;8;9
21;27;29;34;49;8;10
12;15;32;40;45;7;10
8;22;31;32;36;6;10
9;16;17;29;39;1;8
7;16;22;30;48;2;8
2;22;33;38;47;2;9
14;16;32;34;47;7;9
12;34;36;47;48;5;7
5;6;9;15;29;4;9
